Index;Location;Province;Genus;species-clone;type-of-sample;Asymptomatic-diseased;Nursery-Field;Roots;Root-Collar;Stem;Growth-tip;Needles-Leaves;results
8639;Ruigtevlei;Comrie;Pinus;radiata;Seed;D;F;Welldeveloped,Healthy;Discoloration,Outerbark,Betweenouter&innerbark;Slightdiscoloration,Outerbark;Kino/Gum/ResinExudation;Wilted,Dead;Fusariumscreening
8640;Howick;Kwazulu-Natal;Pinus;radiata;Seed/Cuttings;D;N;Healthy;J-rooting;Discolorationn;Discoloration;Wilted,Dead;Fusariumscreening
8641;Ezigro;Comrie;Pinus;radiata;Seed/Cuttings;D;N;Welldeveloped,Healthy;Welldeveloped;Health,Outerbark,Cambium,Betweenouterandinnerbark,Sapwood;Healthy;Alive;Fusariumscreening
8642;Ezigro;Bergplaas;Pinus;radiata;Seed/Cuttings;D;N;Welldeveloped,J-rooting,Healthy;Welldeveloped;Health,Outerbark,Cambium,Betweenouterandinnerbark,Sapwood;Healthy;Alive;Fusariumscreening
8643;Karatara;WesternCape;Pinus;radiata;Seed;A;F;Brownroots,Greentips;Healthyy;Health;Healthy;Alive;Fusariumciricnatum
8644;Tzaneen;Limpopo;Pinus;radiata;Seed/Cuttings;A;F;Healthy;Fewroots;Discolorationn,Cambium,Sapwood;Discoloration,Cambium,Sapwood;Wilted,Discoloration;Fusariumciricnatum
8645;Karatara;WesternCape;Pinus;radiata;Seed/Cuttings;A;N;Drytunted;Welldeveloped;Discolorationn;Healthy;Wilted;Cytosporasp
8646;Howick;Kwazulu-Natal;Pinus;radiata;Seed/Cuttings;D;F;Root:shootratio;Welldeveloped;Discolorationn;Healthy;Alive;Fusariumciricnatum
8647;Howick;Kwazulu-Natal;Pinus;radiata;Seed/Cuttings;A;F;Welldeveloped,Healthy;Welldeveloped,Dead;Discolorationn,Outerbark,Cambium;Discoloration,Outerbark,Cambium;Alive;Bdothidea
8648;Howick;Kwazulu-Natal;Pinus;radiata;Seed/Cuttings;D;F;Healthy;Welldeveloped,Dead;Discolorationn,Cambium;Discoloration,Cambium;Notip;Fusariumciricnatum
8649;Howick;Kwazulu-Natal;Pinus;radiata;Seed/Cuttings;D;F;Browntips,Healthyroots;Welldeveloped;Discolorationn,Outerbark;Discoloration,Cambium;Wilted,Dead;Fusariumciricnatum
8650;Howick;Kwazulu-Natal;Pinus;radiata;Seed/Cuttings;D;F;Root:shootratio;Welldeveloped,Healthyy;Health;Healthy;Alive;Fusariumciricnatum
8651;Howick;Kwazulu-Natal;Acacia;radiata;Seed/Cuttings;D;F;Healthy;Welldeveloped,Dead;Discolorationn,Outerbark,Betweeninnerandouterbark;Discoloration,Outerbark,Betweeninnerandouterbark;Alive;Fusariumciricnatum
8652;Howick;Kwazulu-Natal;Acacia;radiata;Seed/Cuttings;A;F;Welldeveloped,Healthy;Welldeveloped;Discolorationn,Outerbark,Betweenouterandinnerbark,Cambium;Discoloration,Outerbark,Betweenouterandinnerbark,Cambium;Alive;Fusariumciricnatum
8653;Howick;Kwazulu-Natal;Acacia;radiata;Seed/Cuttings;D;F;Welldeveloped,Healthy;Welldeveloped,Dead,J-rooting,Plugboundd;Discolorationn,Outerbark,Betweenouterandinnerbark,Cambium;Discoloration,Outerbark,Betweenouterandinnerbark,Cambium;Alive;bacterium
8654;Howick;Kwazulu-Natal;Pinus;radiata;Seed/Cuttings;D;F;Healthy;Welldeveloped,Healthyy;Health;Healthy;Alive;Fusariumciricnatum
8655;Howick;Kwazulu-Natal;Pinus;radiata;Seed/Cuttings;D;F;Die-back,Healthy;Dead;Discolorationn;Discoloration;Wilted,Discoloration;bacterium
8656;Howick;Kwazulu-Natal;Pinus;radiata;Seed/Cuttings;D;F;Die-back,Healthy;Dead;Discolorationn;Healthy;Wilted,Dead,Discoloration;Fusariumciricnatum
8657;Howick;Kwazulu-Natal;Pinus;radiata;Seed/Cuttings;D;F;Die-back;Welldeveloped,Dead;Discolorationn;Discoloration;Wilted,Discoloration;Fusariumciricnatum
8658;Howick;Kwazulu-Natal;Pinus;radiata;Seed/Cuttings;D;F;Root:shootratio;J-rooting;Discolorationn,Outerbark,Cambium;Discoloration,Outerbark;Alive;Secondarybacterium/Fungi
8659;Howick;Kwazulu-Natal;Pinus;radiata;Mediaplates;A;F;Welldeveloped,Healthy;Wilted,Dead;Dead;Wilted,Discoloration;Wilted,Dead;Secondarybacterium/Fungi
8660;Howick;Kwazulu-Natal;Pinus;radiata;Mediaplates;A;F;Welldeveloped,Healthy;Welldeveloped,J-rooting,Dead;Dead;Wilted;Wilted,Dead;Secondarybacterium/Fungi
8661;Howick;Kwazulu-Natal;Pinus;radiata;Seed/Cuttings;D;F;Root:shootratio;Welldeveloped;Health;Discoloration,Cambium,Sapwood;Alive;Fusariumciricnatum
8662;Howick;Kwazulu-Natal;Pinus;radiata;Seed/Cuttings;D;F;Welldeveloped,Dry;Welldeveloped,Dead,J-rooting;Discolorationn,Outerbark,Betweenouterandinnerbark,Cambium;Healthy;Alive;Fusariumciricnatum
8663;Knysna;WesternCape;Pinus;radiata;Seed;D;F;Die-back;Welldeveloped,J-rooting,Dead;Discolorationn;Alive;Alive;Secondarybacterium/Fungi
8664;Knysna;WesternCape;Pinus;radiata;Seed;A;F;Die-back;Welldeveloped,J-rooting,Dead,Plugboundd;Discolorationn;Alive;Alive;Secondarybacterium/Fungi
8665;Howick;Kwazulu-Natal;Pinus;radiata;Seed,Hedge;D;N;Welldeveloped,Dry;Dead;Discolorationn,Water-soaked;Discoloration,Sapwood;Discoloration;Fusariumciricnatumnotidentified
8666;Howick;Kwazulu-Natal;Pinus;radiata;Seed,Hedge;D;N;Brownroots,Greentips;Welldeveloped;Discolorationn,Outerbark,Cambium,Betweenouterandinnerbark,Sapwood;Discoloration,Outerbark;Alive;Fusariumciricnatumnotidentified
8667;PietRetief;WesternCape;Pinus;radiata;Seed,Twigs/Branch,Leaves/Needles;D;F;Drycorch;Dead;Discolorationn,Outerbark,Cambium,Sapwood;Alive,Healthy;Green&Healthy,Fresh;FSPrysphearia,Diplodia,Generalfungiandbacterium
8668;Karatara;WesternCape;Pinus;radiata;Soil,Seed/Cuttings;A;F;Welldeveloped,Healthy;Healthyy;Health;Alive;Healthy;Secondarybacterium/Fungi
8669;Karatara;WesternCape;Pinus;radiata;Soil,Seed/Cuttings;A;F;Welldeveloped,Healthy;Healthyy;Health;Alive;Healthy;ScreeningforFusariumciricnatum/Diplodia
8670;Karatara;WesternCape;Pinus;radiata;Soil,Seed/Cuttings;A;F;Welldeveloped,Healthy;Healthyy;Health;Alive;Healthy;Secondarybacterium/Fungi
8671;Karatara;WesternCape;Pinus;radiata;Soil,Seed/Cuttings;A;F;Healthy;Healthyy;Health;Alive;Dead;IdentifiedasFusariumciricnatumFSPRootFSP
8672;Karatara;WesternCape;Pinus;radiata;Soil,Seed/Cuttings;A;F;Dryrootss;Discoloration;Health;Die-back;Wilted,Dead,Discoloration;IdentifiedasFusariumciricnatumFSPRootFSP
8673;Karatara;WesternCape;Pinus;radiata;Seed/Cuttings;A;F;Healthy,Welldeveloped;Healthyy;Health;Healthy;Wilted,Dead;Ssapinea
8674;Karatara;WesternCape;Pinus;radiata;Seed/Cuttings;A;F;Healthy,Welldeveloped;Healthyy;Health;Healthy;Wilted,Discoloration;Ssapinea
